study title,Clinicaltrials.gov,dataverse.org
Alberta Pregnancy Outcome and Nutrition,NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10942
The CHAPTER I Study: Evaluation of Novel Transition Interventions for Youth With Congenital Heart Disease,https://clinicaltrials.gov/ct2/show/NCT01286480,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10906
The CHAPTER II Study: Congenital Heart Adolescents Participating in Transition Evaluation Research,https://clinicaltrials.gov/ct2/show/NCT01723332,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10907
The CHAPTER III Study of Young Adolescents: Congenital Heart Adolescents Participating in Transition Evaluation Research,https://clinicaltrials.gov/ct2/show/NCT02374892,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10908
Assessment of Discharge Process from the Pediatric Cardiology Unit,NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10905
"Cardio-respiratory Function, School Age Abilities and Quality of Life in Extremely Low Birth Weight Infants",NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10954
Assessing Ventilatory Control in Infants at High Risk of Sleep Disordered Breathing: A Study of Infants with Cleft Lip and/or Palate,NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10910
Vitamin D and K Status Influences Bone Mineral Density and Bone Accrual in Children and Adolescents with Celiac Disease,NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10912
Evaluating an Internet-based Program for Anxious Youth: a Pilot RCT,https://clinicaltrials.gov/ct2/show/NCT02059226,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10913
"A Multicenter Randomized Controlled Trial to Compare the Effect of Schroth Exercises to Standard Care on Curve Characteristics, Posture, and Quality Of Life in Adolescents With Idiopathic Scoliosis",https://clinicaltrials.gov/ct2/show/NCT01610908,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10914
"Single-blind, Placebo-challenge Study of Intravenous Fluid Hydration in the Management of Pediatric Migraine in the Emergency Department",https://clinicaltrials.gov/ct2/show/NCT01073787,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10915
Efficacy of Combination Therapy with Intravenous Ketorolac and Metoclopramide for Pediatric Migraine Therapy in the Emergency Department,https://clinicaltrials.gov/ct2/show/NCT01596166,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10959
Anesthesiologists Learning to Use Videolaryngoscopes in Children,https://clinicaltrials.gov/ct2/show/NCT01215422,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10916
Pilot Randomized Trial of Vaginal Progesterone to Prevent Preterm Birth in Multiple Pregnancy,https://clinicaltrials.gov/ct2/show/NCT00343265,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10917
Single Incision Device (TVT Secur) Versus Retropubic Tension-free Vaginal Tape Device (TVT) for the Management of Stress Urinary Incontinence in  Women: A Randomized Clinical Trial,https://clinicaltrials.gov/ct2/show/NCT00685217,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10962
Prophylactic Peritoneal Dialysis Decreases Time to Achieve a Negative Fluid Balance After the Norwood Procedure,https://clinicaltrials.gov/ct2/show/NCT01215240,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10918
All Our Babies,NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10793
Mindfulness-based Stress Reduction for Pediatric Mental Health,https://clinicaltrials.gov/ct2/show/NCT01307943,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10920
"Pilot Study of Pediatric Integrative Medicine in Pediatric Oncology, General Pediatrics and Pediatric Cardiology",https://clinicaltrials.gov/ct2/show/NCT02028832,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10921
Evaluation of an Online Peer Support Network for Parents of Children with a Heart or Liver Transplant,NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10922
Evaluation of the Effectiveness of Robotic Gait Training and Gait-focused Physical Therapy Programs for Children and Youth With Cerebral Palsy: A Mixed Methods Randomized Controlled Trial [NCT02391324],https://clinicaltrials.gov/ct2/show/NCT02391324,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10923
